 value  |                           label                           
--------+-----------------------------------------------------------
 104721 | 2007-02-08 Cavigal Nice Basket vs Basket Landes
 110811 | 2008-12-03 TTT Riga vs VBW CEKK Ceglèd
 108292 | 2010-07-14 Elfic Fribourg vs Cavigal Nice Basket
 103202 | 2010-11-17 Nantes Reze vs Basketball Nymburk
 101423 | 2010-12-01 Eisvögel USC vs Carolo Basket
 10068  | 2011-11-02 Dexia Namur vs Optimum Ted Ankara
 10081  | 2011-11-02 Olimpia  vs Dynamo Kursk
 10066  | 2011-11-02 Lemminkainen vs Hainaut Basket
 10067  | 2011-11-02 Flying Foxes vs Gran Canaria
 10069  | 2011-11-02 Lombos vs Botas
 10065  | 2011-11-02 Lotto Young Cats vs Besiktas JK
 10084  | 2011-11-03 BBC Sint-Katelijne-Waver vs Arras
 10076  | 2011-11-03 Maccabi Bnot  vs Kayseri Kaskispor
 10077  | 2011-11-03 Partizan Galenika vs MBK Ruzomberok
 10078  | 2011-11-03 Elitzur Ramla vs Spartak Noginsk
 10396  | 2011-11-03 Dynamo Kursk vs Olimpia 
 10083  | 2011-11-03 AD Vagos vs Nantes Reze
 10082  | 2011-11-03 Horizont vs WBC Dynamo
 10080  | 2011-11-03 Sdent Helios vs Basket Landes
 10079  | 2011-11-03 SISU vs Chevakata
 10432  | 2011-11-09 Arras vs SISU
 10428  | 2011-11-09 WBC Dynamo vs Lombos
 10430  | 2011-11-09 Nantes Reze vs Dexia Namur
 10431  | 2011-11-09 Hainaut Basket vs Flying Foxes
 10446  | 2011-11-10 Besiktas JK vs Telge Basket
 10442  | 2011-11-10 Spartak Noginsk vs USO Mondeville
 10445  | 2011-11-10 Kayseri Kaskispor vs Olimpia 
 10443  | 2011-11-10 Dynamo - GUVD vs Lotto Young Cats
 10440  | 2011-11-10 Botas vs Horizont
 10444  | 2011-11-10 Basket Landes vs Partizan Galenika
 10448  | 2011-11-10 AD Vagos vs Optimum Ted Ankara
 10447  | 2011-11-10 Gran Canaria vs Lemminkainen
